                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.3596,                 1.1736,                 1.3384,                 1.3967,                 2.0363,                 1.2785,                0.48866,                0.60051,                0.52976,                0.32051,                 1.6719,                  2.271,                 1.8861,                 1.4224,                 3.4291,                 1.6302,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.3126,                 1.0986,                 1.3294,                 1.2823,                 1.8313,                 1.2575,                0.56997,                0.72243,                0.79094,                0.44338,                 1.6174,                  1.317,                 1.7756,                 1.4818,                 2.9171,                 1.6596,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.2573,                 1.0256,                 1.2974,                 1.2867,                 1.7946,                 1.2636,                0.63585,                0.56765,                0.57265,                0.29289,                 1.7049,                 2.0188,                 1.9706,                 1.5725,                 3.4046,                 1.8316,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.3709,                 1.1462,                 1.3568,                 1.3542,                 1.9743,                  1.326,                0.63788,                0.57602,                0.50156,                0.24712,                 1.8411,                 2.3828,                 2.1049,                 1.7544,                 3.4939,                 2.0387,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.3458,                 1.0906,                 1.3582,                 1.3713,                 1.8741,                 1.3439,                0.75141,                0.52979,                0.57148,                0.33121,                 1.5997,                 1.8705,                 1.8605,                 1.4874,                 3.1374,                 1.7782,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.3283,                 1.0637,                 1.3283,                 1.3305,                 1.7593,                 1.2936,                0.72027,                0.75778,                0.78253,                0.45449,                 1.5383,                 1.2211,                 1.7438,                 1.5342,                 2.3972,                 1.7568,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.3064,                 1.0315,                   1.33,                 1.3129,                  1.755,                 1.2753,                0.65356,                0.83502,                0.75846,                0.42103,                 1.6466,                 1.4182,                 1.7726,                 1.6526,                 2.4951,                 1.7681,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.3634,                 1.0326,                 1.3329,                 1.3735,                 1.6571,                 1.2887,                0.66059,                   0.85,                0.84633,                 0.4196,                 1.7195,                 1.1775,                 1.9205,                 1.6968,                 2.3261,                 1.8835,             0.00097386,             0.00097386,             0.00097386
                     45,                  1.311,                0.96939,                 1.3229,                 1.3303,                 1.5568,                 1.2742,                0.66274,                0.53739,                0.35761,                0.20656,                  1.574,                 2.2555,                 1.8107,                 1.5103,                 3.3673,                 1.7035,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.3301,                 1.0912,                  1.345,                 1.3137,                 1.6825,                  1.297,                0.68309,                0.66541,                0.66144,                0.41473,                 1.6284,                 1.8343,                 1.8419,                 1.5269,                 2.7347,                  1.785,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.2463,                0.98688,                 1.2727,                 1.3082,                 1.5111,                 1.2341,                0.79982,                0.77904,                0.87968,                0.50025,                 1.6361,                 1.1348,                 1.8084,                 1.6041,                 2.1287,                 1.8231,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.1831,                 0.9601,                 1.2582,                 1.2895,                 1.4421,                  1.251,                0.64675,                0.66988,                0.75362,                0.46365,                 1.4453,                 1.3026,                 1.6724,                 1.3965,                 2.2767,                 1.6343,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.1872,                0.91979,                 1.2379,                 1.2221,                 1.4033,                 1.1888,                0.54308,                0.69174,                0.59664,                0.34669,                 1.4284,                 1.5752,                 1.6422,                 1.4599,                 2.4887,                 1.6661,             0.00089134,             0.00089134,             0.00089134
                     50,                  1.221,                0.90921,                 1.2889,                 1.2656,                 1.3709,                 1.2724,                0.57004,                0.64415,                0.63058,                0.38268,                 1.5392,                 1.7178,                 1.7226,                 1.4209,                 2.5228,                 1.6514,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.2056,                  0.927,                 1.2791,                 1.3102,                 1.4081,                 1.2756,                0.83828,                 0.7229,                0.85419,                0.49801,                 1.5201,                 1.0687,                 1.6614,                 1.4356,                 2.0051,                 1.6088,             0.00085834,             0.00085834,             0.00085834
                     52,                  1.257,                 0.9397,                 1.3106,                 1.2995,                 1.3728,                 1.2899,                0.89404,                 0.6704,                0.79267,                0.44533,                 1.5588,                 1.2522,                 1.6751,                 1.4819,                 2.0858,                 1.6011,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.2252,                 0.8834,                 1.2671,                 1.3006,                 1.3013,                  1.259,                0.69396,                0.89949,                0.82769,                0.49752,                  1.439,                 1.0507,                 1.5989,                  1.443,                 1.7376,                 1.6593,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.2203,                0.92766,                 1.2972,                 1.2877,                 1.4237,                 1.2839,                0.71917,                0.78273,                 0.8491,                0.50317,                 1.4635,                 1.1438,                 1.5801,                 1.5443,                 1.7239,                 1.7005,             0.00080883,             0.00080883,             0.00080883
                     55,                  1.235,                0.94117,                 1.2634,                 1.3325,                 1.3743,                 1.2466,                 0.6116,                  0.775,                0.71049,                0.39915,                 1.6161,                 1.5994,                 1.7185,                 1.6347,                 2.1648,                 1.7826,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.2346,                  0.924,                 1.2931,                 1.3096,                 1.3914,                 1.3124,                0.78366,                  0.825,                 0.8653,                  0.527,                 1.4949,                 1.1167,                 1.6163,                 1.4606,                 1.6573,                  1.652,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.2244,                 0.8434,                 1.2523,                 1.3017,                 1.1722,                 1.2294,                0.79747,                    0.8,                0.89369,                0.55437,                 1.4724,                 1.0099,                 1.6305,                 1.4576,                 1.6006,                 1.6667,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.2161,                0.89675,                 1.2775,                 1.2883,                 1.3116,                 1.2577,                0.83291,                0.68115,                0.83095,                0.49231,                 1.5922,                 1.2608,                 1.7647,                 1.5676,                 1.7824,                 1.7313,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.2008,                0.86513,                 1.2554,                 1.2691,                 1.2871,                  1.251,                0.97366,                   0.75,                0.92645,                0.55344,                 1.5138,                0.92471,                 1.6719,                 1.5049,                 1.4312,                 1.6429,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.1852,                0.85578,                 1.2391,                 1.2068,                 1.2123,                 1.2064,                0.78738,                0.82425,                0.88779,                0.50843,                 1.5484,                0.87094,                 1.6986,                 1.4875,                 1.5213,                  1.627,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.1915,                0.87537,                 1.2485,                 1.2503,                   1.25,                 1.2477,                 0.7427,                0.76895,                0.80052,                0.45631,                 1.6437,                 1.2225,                 1.8638,                 1.6009,                 1.7688,                  1.765,             0.00069331,             0.00069331,             0.00069331
